FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
52,LITTLE ARMENIA, ,10443.9032865,6813643.18241,LITTLE ARMENIA,205,2554.52,33,411.21,2020/06/03,925399.703125,3848.83526423576
53,ECHO PARK, ,30983.2353192,34059171.2109,ECHO PARK,50,350.73,1,7.01,2020/06/03,4624379.43359375,11425.3228864854
54,MELROSE, ,83856.843302,124909805.855,MELROSE,585,752.93,38,48.91,2020/06/03,16959992.1953125,30874.55115134
55,ELYSIAN PARK, ,28944.4012833,36501652.1697,ELYSIAN PARK,16,280.11,0,0,2020/06/03,4955444.84765625,10667.3744974612
56,TEMPLE-BEAUDRY, ,20920.365554,16542098.0453,TEMPLE-BEAUDRY,345,873.82,13,32.93,2020/06/03,2245783.5546875,7708.10145824367
57,TEMPLE-BEAUDRY, ,29450.8712881,20434838.3179,TEMPLE-BEAUDRY,345,873.82,13,32.93,2020/06/03,2773304.95703125,10843.6429227495
58,WESTWOOD,yes,51016.1811463,102759969.152,WESTWOOD,71,131.22,5,9.24,2020/06/03,13947013.1679688,18791.3301216424
59,HANCOCK PARK, ,36798.8764493,55555881.2479,HANCOCK PARK,82,481.25,2,11.74,2020/06/03,7540979.6015625,13551.4864898991
60,HISTORIC FILIPINOTOWN,yes,21059.7469803,17094713.9821,HISTORIC FILIPINOTOWN,143,1031,5,36.05,2020/06/03,2320459.609375,7754.16951748894
61,CARTHAY, ,27378.2907801,27757419.1827,CARTHAY,82,570.91,8,55.7,2020/06/03,3767809.19921875,10081.1832234995
62,WILSHIRE CENTER, ,39543.5666349,35959758.5072,WILSHIRE CENTER,263,524.22,18,35.88,2020/06/03,4880897.5703125,14570.0722399986
63,PARK LA BREA, ,16543.8264728,13459436.9155,PARK LA BREA,21,154.64,1,7.36,2020/06/03,1826926.3046875,6094.5264552206
64,UNIVERSITY HILLS,yes,17416.7542576,16184171.7408,UNIVERSITY HILLS,12,349.96,1,29.16,2020/06/03,2196674.1484375,6416.14178955151
65,ANGELINO HEIGHTS, ,11358.901405,5086158.17178,ANGELINO HEIGHTS,18,719.42,0,0,2020/06/03,690342.1171875,4188.87489150768
66,MIRACLE MILE,yes,39099.7104234,33571980.8131,MIRACLE MILE,43,239.09,5,27.8,2020/06/03,4555788.58203125,14393.689293399
67,WESTLAKE,yes,25445.3405571,32261541.284,WESTLAKE,783,1319.18,75,126.36,2020/06/03,4377754.76171875,9368.79684368452
68,CHINATOWN,yes,14302.6091352,10914285.258,CHINATOWN,25,311.68,1,12.47,2020/06/03,1481171.08984375,5269.51023146818
69,KOREATOWN,yes,28431.5002987,40187179.5014,KOREATOWN,298,576.48,16,30.95,2020/06/03,5452833.31640625,10465.7745725183
70,CENTURY CITY,yes,24103.1368105,32485123.3554,CENTURY CITY,35,273.61,0,0,2020/06/03,4407599.96875,8878.1080483614
71,SOUTH CARTHAY, ,17877.0707175,14386542.4021,SOUTH CARTHAY,36,339.78,1,9.44,2020/06/03,1952177.95703125,6582.00225014315
72,COUNTRY CLUB PARK, ,23013.4233451,24759665.6122,COUNTRY CLUB PARK,102,673.13,19,125.39,2020/06/03,3359513.77734375,8474.28042184688
73,MID-CITY, ,29564.321088,30570514.0369,MID-CITY,118,785.1,7,46.57,2020/06/03,4147510.06640625,10880.5950387004
74,CHEVIOT HILLS,yes,33811.6752986,47875339.7759,CHEVIOT HILLS,22,239.89,1,10.9,2020/06/03,6493954.23828125,12455.744785076
75,BEVERLYWOOD, ,32869.6016419,31737507.73,BEVERLYWOOD,37,280.88,0,0,2020/06/03,4305353.84375,12111.9406453307
76,CRESTVIEW, ,21361.741998,21376801.2471,CRESTVIEW,90,791.7,14,123.15,2020/06/03,2900202.54296875,7863.68767074418
77,PICO-UNION,yes,27511.0713724,37208167.7693,PICO-UNION,595,1422.02,59,141.01,2020/06/03,5047611.90625,10129.7659211352
78,LITTLE TOKYO,yes,11664.9527483,6286183.13771,LITTLE TOKYO,22,702.2,2,63.84,2020/06/03,852800.546875,4299.22640097664
79,WEST LOS ANGELES, ,36739.2514519,61773495.3135,WEST LOS ANGELES,84,223.19,4,10.63,2020/06/03,8379144.890625,13525.9176083251
80,VICTORIA PARK, ,15968.962691,11167318.0447,VICTORIA PARK,60,714.37,2,23.81,2020/06/03,1514878.90625,5876.9270176588
81,HARVARD HEIGHTS, ,21243.2545291,21355822.9774,HARVARD HEIGHTS,140,776.27,13,72.08,2020/06/03,2896956.7265625,7815.18668372446
82,LAFAYETTE SQUARE, ,11792.383539,7428376.86412,LAFAYETTE SQUARE,18,394.82,0,0,2020/06/03,1007666.109375,4340.46993215363
83,CADILLAC-CORNING, ,10618.9960704,6620027.05502,CADILLAC-CORNING,31,435.33,1,14.04,2020/06/03,897991.6953125,3910.14190742481
84,ST ELMO VILLAGE, ,8692.25329963,4200717.42855,ST ELMO VILLAGE,47,1025.31,6,130.89,2020/06/03,569820.26953125,3201.49732939436
85,CLOVERDALE/COCHRAN, ,23087.3907268,26344948.7595,CLOVERDALE/COCHRAN,77,529.1,4,27.49,2020/06/03,3573294.46484375,8497.33805979553
86,RANCHO PARK,yes,22366.9193508,23457011.1142,RANCHO PARK,18,274.39,0,0,2020/06/03,3181398.9296875,8235.56435094442
87,FAIRCREST HEIGHTS, ,16543.9996637,13206615.9434,FAIRCREST HEIGHTS,4,111.11,1,27.78,2020/06/03,1791284.7109375,6093.39889883646
88,REYNIER VILLAGE, ,14774.8394437,10005786.6893,REYNIER VILLAGE,12,283.82,0,0,2020/06/03,1357063.06640625,5438.65634399767
89,WEST ADAMS,yes,36691.2665484,41503423.2811,WEST ADAMS,241,872.24,16,57.91,2020/06/03,5628947.875,13493.0753599832
90,WELLINGTON SQUARE, ,13134.62972,8688491.46965,WELLINGTON SQUARE,25,508.65,0,0,2020/06/03,1178387.38671875,4836.59523239766
91,LONGWOOD, ,11185.0853735,7238514.20584,LONGWOOD,25,580.86,0,0,2020/06/03,981739.52734375,4118.04671043093
92,UNIVERSITY PARK, ,29653.7584997,41825677.5331,UNIVERSITY PARK,216,786.71,1,3.64,2020/06/03,5671629.21875,10914.1819931891
93,REGENT SQUARE, ,10436.0640263,5307139.23823,REGENT SQUARE,4,143.88,0,0,2020/06/03,719735.078125,3841.21290162081
94,MAR VISTA,yes,50520.8960629,97600117.1467,MAR VISTA,84,197.78,5,11.77,2020/06/03,13230013.2890625,18600.2588180105
95,ADAMS-NORMANDIE, ,13229.1910681,10427640.4108,ADAMS-NORMANDIE,56,682.76,3,36.58,2020/06/03,1414040.29296875,4869.28484453087
96,PALMS,yes,38707.1219246,49146441.6337,PALMS,193,439.87,20,45.58,2020/06/03,6663597.015625,14246.9659347707
97,CRENSHAW DISTRICT,yes,26051.7293897,33233216.8219,CRENSHAW DISTRICT,75,542.34,3,21.69,2020/06/03,4505926.1796875,9596.04331492536
98,ALSACE, ,19230.0880573,16324695.6721,ALSACE,57,458.02,0,0,2020/06/03,2213707.12109375,7072.85524633774
99,EXPOSITION, ,13735.5176321,9716981.47497,EXPOSITION,13,390.86,0,0,2020/06/03,1317584.32421875,5059.33759650618
100,EXPOSITION PARK, ,39842.9083566,70669196.3877,EXPOSITION PARK,279,621.15,11,24.49,2020/06/03,9580693.14453125,14658.7294712162
101,JEFFERSON PARK, ,14248.7652259,12502475.0563,JEFFERSON PARK,43,532.64,1,12.39,2020/06/03,1695201.26171875,5248.08790588759
